Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
1 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-(4-tert-Butylphenyl)propan-2-one,81561-77-5,HSNJERRVXUNQLS-UHFFFAOYSA-N,NA,1-(4-tert-Butylphenyl)propan-2-one,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-Octanol, 3,7-dimethyl-",106-21-8,NA,NA,Dihydro-citronellol,NA,NA,"waxy, soapy, aldehydic, leathery, musty, citrus, green",NA,NA,NA,NA,NA,NA
"1,1'-Biphenyl, 3,4-diethyl-",61141-66-0,NA,43551,"3,4-Diethylbiphenyl",NA,NA,NA,Hydrocarbon,NA,32-33min,NA,1692,NIST
"1,2,3-Trimethylbenzene",526-73-8,FYGHSUNMUKGBRK-UHFFFAOYSA-N,NA,"1,2,3-Trimethylbenzene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,2,4-Trimethylbenzene",95-63-6,GWHJZXXIDMPWGX-UHFFFAOYSA-N,7247,"1,2,4-Trimethylbenzene",NA,NA,plastic,Hydrocarbon,NA,11-12min,NA,989,NIST
"1,4-DIacetylbenzene",1009-61-6,SKBBQSLSGRSQAJ-UHFFFAOYSA-N,NA,"1,4-Diacetylbenzene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,4-Dimethylnaphthalene",571-58-4,APQSQLNWAIULLK-UHFFFAOYSA-N,NA,"1,4-Dimethylnaphthalene",NA,NA,"moldy, resinous",NA,NA,NA,NA,NA,NA
"10,18-Bisnorabieta-8,11,13-triene",32624-67-2,NA,NA,"10,18-Bisnorabieta-8,11,13-triene",NA,NA,NA,Hydrocarbon,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-20min,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-21min,NA,NA,NA
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-24min,NA,NA,NA
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
