sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
J19,J,19,21,338392,35,94113,94148,0.03717551089773548
J19,J,19,22,365909,22,256889,256911,0.00856327677678262
J19,J,19,23,411291,37,211492,211529,0.01749169144656288
J19,J,19,24,420052,84,408089,408173,0.020579509178706087
J19,J,19,25,397278,16,241949,241965,0.006612526605087514
J19,J,19,26,420553,6,167981,167987,0.003571704953359486
J19,J,19,27,435883,533,152124,152657,0.34914874522622613
J19,J,19,28,621019,4046,661584,665630,0.607845199284888
J19,J,19,29,346477,0,216348,216348,0
J19,J,19,3,433514,130,408972,409102,0.03177691627027001
J19,J,19,30,457960,33,104832,104865,0.031469031612072665
J19,J,19,31,336979,30,225816,225846,0.013283387795223294
J19,J,19,32,393988,4,168833,168837,0.002369148942471141
J19,J,19,33,355301,26,89681,89707,0.028983245454646797
J19,J,19,34,373837,4004,285487,289491,1.3831172644399998
J19,J,19,35,445418,22,164342,164364,0.013384926139543937
J19,J,19,36,327481,8,282293,282301,0.0028338546445106465
J19,J,19,4,622058,15,220543,220558,0.0068009321811042895
J19,J,19,5,422797,5,240028,240033,0.002083046914382606
