compound,sample,cultivar,plant_num,conc,mg_tea,conc_ug_mg,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end
Epicatechin gallate,J1,J,1,326.21,20.3,16.069458128078818,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Catechin gallate,J1,J,1,NA,20.3,NA,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
L-theanine,L21,L,21,50.932,20.8,2.4486538461538463,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Gallic acid,L21,L,21,NA,20.8,NA,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Gallocatechin,L21,L,21,42.233,20.8,2.0304326923076923,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Theobromine,L21,L,21,6.4657,20.8,0.31085096153846153,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Paraxanthine,L21,L,21,10.099,20.8,0.48552884615384617,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Theophylline,L21,L,21,NA,20.8,NA,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Catechin,L21,L,21,5.665,20.8,0.2723557692307692,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Epigallocatechin,L21,L,21,267.7,20.8,12.870192307692307,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Caffeine,L21,L,21,497.1,20.8,23.899038461538463,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Epigallocatechin gallate,L21,L,21,1155.9,20.8,55.57211538461539,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Epicatechin,L21,L,21,144.64,20.8,6.953846153846153,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Gallocatechin gallate,L21,L,21,NA,20.8,NA,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Epicatechin gallate,L21,L,21,277.05,20.8,13.319711538461538,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
Catechin gallate,L21,L,21,NA,20.8,NA,242560.09375,0.08506275502504015,64,0.0996168582375479,0,0,0
L-theanine,L20,L,20,61.177,20.3,3.0136453201970443,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Gallic acid,L20,L,20,NA,20.3,NA,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Gallocatechin,L20,L,20,47.712,20.3,2.350344827586207,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Theobromine,L20,L,20,7.1089,20.3,0.35019211822660096,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Paraxanthine,L20,L,20,10.099,20.3,0.497487684729064,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Theophylline,L20,L,20,NA,20.3,NA,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Catechin,L20,L,20,6.8813,20.3,0.3389802955665025,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Epigallocatechin,L20,L,20,278.75,20.3,13.731527093596059,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Caffeine,L20,L,20,444.75,20.3,21.90886699507389,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Epigallocatechin gallate,L20,L,20,1227.9,20.3,60.48768472906404,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Epicatechin,L20,L,20,160.32,20.3,7.897536945812807,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Gallocatechin gallate,L20,L,20,6.9175,20.3,0.34076354679802956,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Epicatechin gallate,L20,L,20,276.02,20.3,13.597044334975369,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
Catechin gallate,L20,L,20,NA,20.3,NA,263932.53731343284,0.3221483972087184,67,0.09474004129156667,0.75,0.7407407407407407,0.2962962962962963
L-theanine,L19,L,19,76.841,20.9,3.676602870813397,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Gallic acid,L19,L,19,0.8551,20.9,0.040913875598086125,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Gallocatechin,L19,L,19,38.289,20.9,1.8320095693779905,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Theobromine,L19,L,19,4.462,20.9,0.21349282296650718,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Paraxanthine,L19,L,19,10.099,20.9,0.4832057416267943,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Theophylline,L19,L,19,NA,20.9,NA,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Catechin,L19,L,19,5.6278,20.9,0.2692727272727273,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Epigallocatechin,L19,L,19,258.84,20.9,12.38468899521531,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Caffeine,L19,L,19,385.6,20.9,18.44976076555024,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Epigallocatechin gallate,L19,L,19,1186.6,20.9,56.77511961722488,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Epicatechin,L19,L,19,145.51,20.9,6.962200956937799,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Gallocatechin gallate,L19,L,19,8.4994,20.9,0.4066698564593301,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Epicatechin gallate,L19,L,19,268.85,20.9,12.863636363636365,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
Catechin gallate,L19,L,19,NA,20.9,NA,271593.9298245614,0.16212102547397245,57,0.35743342688155333,0.25,0.2608695652173913,0.08695652173913043
L-theanine,L17,L,17,57.748,21,2.749904761904762,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Gallic acid,L17,L,17,3.8462,21,0.18315238095238096,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Gallocatechin,L17,L,17,74.813,21,3.5625238095238094,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Theobromine,L17,L,17,10.108,21,0.48133333333333334,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Paraxanthine,L17,L,17,10.099,21,0.4809047619047619,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Theophylline,L17,L,17,NA,21,NA,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Catechin,L17,L,17,12.474,21,0.594,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Epigallocatechin,L17,L,17,379.8,21,18.085714285714285,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Caffeine,L17,L,17,777.04,21,37.00190476190476,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Epigallocatechin gallate,L17,L,17,1860.9,21,88.61428571428571,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Epicatechin,L17,L,17,236.34,21,11.254285714285714,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Gallocatechin gallate,L17,L,17,11.808,21,0.5622857142857143,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Epicatechin gallate,L17,L,17,447.57,21,21.312857142857144,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
Catechin gallate,L17,L,17,NA,21,NA,322029.5,0.4385706010673412,36,0.3815969221333185,1,1,0.46153846153846156
L-theanine,L16,L,16,55.331,20.5,2.6990731707317073,307242.01470588235,0.1131688822848547,68,0.04695215029929266,0.25,0.3076923076923077,0.2692307692307692
Gallic acid,L16,L,16,0.1199,20.5,0.0058487804878048786,307242.01470588235,0.1131688822848547,68,0.04695215029929266,0.25,0.3076923076923077,0.2692307692307692
Gallocatechin,L16,L,16,34.965,20.5,1.7056097560975612,307242.01470588235,0.1131688822848547,68,0.04695215029929266,0.25,0.3076923076923077,0.2692307692307692
Theobromine,L16,L,16,5.136,20.5,0.25053658536585366,307242.01470588235,0.1131688822848547,68,0.04695215029929266,0.25,0.3076923076923077,0.2692307692307692
Paraxanthine,L16,L,16,10.099,20.5,0.4926341463414634,307242.01470588235,0.1131688822848547,68,0.04695215029929266,0.25,0.3076923076923077,0.2692307692307692
